timestamp,sender,receiver,message_type,content
0,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 8
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
0,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 13
0,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 7
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 12
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 4,Control Center,TASK_START,Start task 7
0,UAV 3,Control Center,TASK_START,Start task 8
0,UAV 1,Control Center,TASK_START,Start task 12
0,UAV 5,Control Center,TASK_START,Start task 13
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 12
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 3,Control Center,TASK_COMPLETE,Complete task 8
1,UAV 4,Control Center,TASK_COMPLETE,Complete task 7
1,UAV 5,Control Center,TASK_COMPLETE,Complete task 13
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
2,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 9
2,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 30
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 15
2,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 19
2,UAV 1,Control Center,TASK_START,Start task 1
2,UAV 3,Control Center,TASK_START,Start task 9
2,UAV 2,Control Center,TASK_START,Start task 15
2,UAV 5,Control Center,TASK_START,Start task 19
2,UAV 4,Control Center,TASK_START,Start task 30
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
3,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.2%
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 15
3,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
3,UAV 3,Control Center,TASK_COMPLETE,Complete task 9
3,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.1%"
3,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 3
3,AGV 2,UAV 3,CHARGING_START,Start charging
3,UAV 4,Control Center,TASK_COMPLETE,Complete task 30
3,UAV 4,Control Center,LOW_BATTERY,Battery level: 21.2%
3,UAV 5,Control Center,TASK_COMPLETE,Complete task 19
3,UAV 5,Control Center,LOW_BATTERY,Battery level: 23.5%
4,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 18
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 18
4,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 27
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 27
4,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 20
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 20
4,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 17
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 17
4,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 21
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 21
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 18
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 27
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 20
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 17
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 21
4,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.2%
4,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
4,UAV 4,Control Center,LOW_BATTERY,Battery level: 21.2%
4,UAV 5,Control Center,LOW_BATTERY,Battery level: 23.5%
5,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.2%
5,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
5,UAV 4,Control Center,LOW_BATTERY,Battery level: 21.2%
5,UAV 5,Control Center,LOW_BATTERY,Battery level: 23.5%
6,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.2%
6,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
6,UAV 4,Control Center,LOW_BATTERY,Battery level: 21.2%
6,UAV 5,Control Center,LOW_BATTERY,Battery level: 23.5%
7,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.2%
7,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
7,UAV 4,Control Center,LOW_BATTERY,Battery level: 21.2%
7,UAV 5,Control Center,LOW_BATTERY,Battery level: 23.5%
8,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.2%
8,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
8,UAV 4,Control Center,LOW_BATTERY,Battery level: 21.2%
8,UAV 5,Control Center,LOW_BATTERY,Battery level: 23.5%
9,UAV 1,Control Center,LOW_BATTERY,Battery level: 25.2%
9,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
9,UAV 4,Control Center,LOW_BATTERY,Battery level: 21.2%
9,UAV 5,Control Center,LOW_BATTERY,Battery level: 23.5%
10,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
10,AGV 2,UAV 1,CHARGING_START,Start charging
10,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 9.0%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
10,AGV 2,UAV 2,CHARGING_START,Start charging
10,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 4
10,AGV 2,UAV 4,CHARGING_START,Start charging
10,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 3.1%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 5
10,AGV 2,UAV 5,CHARGING_START,Start charging
24,UAV 3,Control Center,TASK_COMPLETE,Complete task 21
25,UAV 2,Control Center,TASK_COMPLETE,Complete task 27
26,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 29
26,UAV 2,Control Center,TASK_START,Start task 29
26,UAV 1,Control Center,TASK_COMPLETE,Complete task 18
26,UAV 4,Control Center,TASK_COMPLETE,Complete task 17
26,UAV 5,Control Center,TASK_COMPLETE,Complete task 20
27,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 6
27,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 28
27,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 3
27,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 4
27,UAV 3,Control Center,TASK_START,Start task 3
27,UAV 4,Control Center,TASK_START,Start task 4
27,UAV 1,Control Center,TASK_START,Start task 6
27,UAV 5,Control Center,TASK_START,Start task 28
27,UAV 2,Control Center,TASK_COMPLETE,Complete task 29
27,UAV 2,Control Center,LOW_BATTERY,Battery level: 28.5%
27,UAV 3,Control Center,LOW_BATTERY,Battery level: 25.7%
28,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 25
28,UAV 2,Control Center,TASK_START,Start task 25
28,UAV 1,Control Center,TASK_COMPLETE,Complete task 6
28,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.7%"
28,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.3%"
28,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 6.6%"
28,UAV 4,Control Center,TASK_COMPLETE,Complete task 4
28,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.2%"
28,UAV 5,Control Center,TASK_COMPLETE,Complete task 28
28,UAV 5,Control Center,LOW_BATTERY,Battery level: 26.9%
29,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 5
29,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 11
29,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 22
29,UAV 1,Control Center,TASK_START,Start task 5
29,UAV 4,Control Center,TASK_START,Start task 11
29,UAV 5,Control Center,TASK_START,Start task 22
29,AGV 3,Control Center,AGV_ARRIVE_RELAY,AGV 3 arrived at relay point for task 21
29,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
